,subj,city,state,country,npart,crime rate,target,issue,violence rating,riot,population,npart,death
175,Riots in Jos,Jos,,Nigeria,,7.71025969071,,election,,1.0,,5000.0,4.0
176,Riots in Tirana - including three seriously along with 22 civilians,Tirana,,Albania,,33.3614592527,,human_rights,,1.0,,5000.0,7.0
177,"Riots in Lebanon, following the fall of Saad Hariri's government",,,Lebanon,,155.252856146,,human_rights,,1.0,,201330.0,8.0
178,Riots in Egypt,,,Egypt,,16.2019727776,,election,,1.0,,5000.0,4.0
179,Riots in Tafawa Balewa,Tafawa Balewa,,Nigeria,,7.71025969071,,human_rights,,1.0,,5000.0,44.0
180,Prison riot in Sao Luis,Sao Luis,,Brazil,,335.394677759,,election,,1.0,,5000.0,29.0
181,Religious riot in Banten,Banten,,Indonesia,,14.4544819558,,human_rights,,1.0,,5000.0,5.0
182,Riots in Manama - 2 security forces injured,Manama,,Bahrain,,223.353696321,,human_rights,,1.0,,5000.0,4.0
183,Riots in Sulaimaniya,Sulaimaniya,,Iraq,,0.679494449189,,domestic,,1.0,,5000.0,6.0
184,Riots in Al Hoceima,Al Hoceima,,Morocco,,142.014470202,,foreign_affairs,,1.0,,5000.0,3.0
185,Riots in Libya,,,Libya,,2.5,,election,,1.0,,5000.0,6.0
186,Riots in Iraq,,,Iraq,,0.679494449189,,election,,1.0,,5000.0,8.0
187,Riots in Yemen,,,Yemen,,5.01006987995,,election,,1.0,,5000.0,6.0
188,Riots in Tunis,Tunis,,Tunisia,,3.1,,election,,1.0,,5000.0,6.0
189,Miners riot in Peru,,,Peru,,186.603654531,,jobs,,1.0,,5000.0,6.0
190,Riots in Cairo,Cairo,,Egypt,,16.2019727776,,election,,1.0,,5000.0,7.0
191,Riot in Kissidougou,Kissidougou,,Guinea,,7.73160714286,,election,,1.0,,200115.0,44.0
192,Prison riot in Tikrit,Tikrit,,Iraq,,0.679494449189,,domestic,,1.0,,5000.0,52.0
193,Riots in Syria,,,Syria,,9.71382934006,,domestic,,1.0,,5000.0,6.0
194,Riots in Sana'a,Sana'a,,Yemen,,5.01006987995,,election,,1.0,,5000.0,44.0
195,Prison Riot in Hyderabad,Hyderabad,,Pakistan,,7.8,,religion,,1.0,,19000.0,2.0
196,Riot in London,London,,United-Kingdom,,0.84898911353,,sport,,1.0,,5000.0,6.0
197,Riots in Nigeria,,,Nigeria,,7.71025969071,,human_rights,,1.0,,5000.0,9.0
198,Riots in Mazar-e Sharif and Kandahar,Mazar-e Sharif,,Afghanistan,,6.6,,domestic,,1.0,3.0,5500.0,49.0
199,Riots in Jessore,Jessore,,Bangladesh,,4.8414342468,,human_rights,,1.0,,5000.0,9.0
200,Riots in Cairo,Cairo,,Egypt,,16.2019727776,,election,,1.0,,5000.0,5.0
201,Prison riot in Rumieh prison,Rumieh,,Lebanon,,155.252856146,,human_rights,,1.0,,5000.0,44.0
202,Riot in Parwan province,Parwan,,Afghanistan,,6.6,,human_rights,,1.0,,10000.0,44.0
203,Riots in Uganda,,,Uganda,,22.8380248791,,human_rights,,1.0,,5000.0,2.0
204,Riots in Yemen,,,Yemen,,5.01006987995,,election,,1.0,,100.0,11.0
205,Riots in Jaitapur,Jaitapur,Maharashtra,India,,15.8234886831,,env,,1.0,,5000.0,44.0
206,Riots in Diyarbakir,Diyarbakir,,Turkey,,235.347969476,,sport,,1.0,,5000.0,44.0
207,Riots in Dakar,Dakar,,Senegal,,13.3609633827,,jobs,,1.0,,5000.0,800.0
208,Riots in Tyre,Tyre,,Lebanon,,155.252856146,,sport,,1.0,,5000.0,21.0
209,Riots in Mansa,Mansa,Luapula Province,Zambia,,5.61710213777,,election,,1.0,,846.0,53.0
210,Riots in Nigeria,,,Nigeria,,7.71025969071,,human_rights,,1.0,,5000.0,4.0
211,Riots in Kampala,Kampala,,Uganda,,22.8380248791,,human_rights,,1.0,,5000.0,44.0
212,Riots in Cairo,Cairo,,Egypt,,16.2019727776,,election,,1.0,,5000.0,5.0
213,Riots in Hesarak District,,Nangarhar province,Afghanistan,,6.6,,domestic,,1.0,,5000.0,3.0
214,Riots on Israel's borders,,,Israel,,394.462481029,,human_rights,,1.0,,5000.0,44.0
215,Riots in West Bengal,,West Bengal,India,,15.8234886831,,jobs,,1.0,,5000.0,44.0
216,Riots in Taloqan,Taloqan,Takhar province,Afghanistan,,6.6,,human_rights,,1.0,,5000.0,44.0
217,Riots in Tbilisi,Tbilisi,,Georgia,,31.3285135779,,election,,1.0,,5000.0,3.0
218,Riots in Choucha refugee camp,,,Tunisia,,3.1,,election,,1.0,,5000.0,90.0
219,Riots in Sri Lanka,,,Sri-Lanka,,242.814174326,,domestic,,1.0,,5000.0,7.0
220,Riots in Greater Noida,Greater Noida,Uttar Pradesh,India,,15.8234886831,,human_rights,,1.0,,5000.0,58.0
221,Riots in Metlaoui,Metlaoui,,Tunisia,,3.1,,election,,1.0,,301.0,7.0
222,Riots in Mogadishu,Mogadishu,,Somalia,,5.6,,election,,1.0,,5000.0,7.0
223,Riots in El Rodeo I prison,El Rodeo,Caracas,Venezuela,,39.1394924531,,human_rights,,1.0,,5000.0,5.0
224,Riots in Vancouver,Vancouver,,Canada,,269.502914962,,sport,,1.0,,6800.0,88.0
225,Riots in Tripoli,Tripoli,,Lebanon,,155.252856146,,religion,,1.0,,5000.0,4.0
226,"Riots, three separate outbreaks in June and July, Northern Ireland, United Kingdom, over 300 injured.",,,Ireland,,413.345237544,,election,,1.0,,5000.0,3.0
227,Riots in Huancavelica,Huancavelica,,Peru,,186.603654531,,human_rights,,1.0,,5000.0,2.0
228,Riots in Guwahati,Guwahati,Assam,India,,15.8234886831,,human_rights,,1.0,,5000.0,9.0
229,Riots in Juliaca,Juliaca,,Peru,,186.603654531,,foreign_affairs,,1.0,,5000.0,4.0
230,Riots in Dadaab - 2 killed and 13 injured,Dabaab,,Kenya,,19.2913746313,,human_rights,,1.0,,5000.0,44.0
231,Riots in Karachi - at least 114 killed,Karachi,,Pakistan,,7.8,,election,,1.0,,5000.0,7.0
232,Riots in Ganjam - at least 2 killed,Ganjam,Odisha,India,,15.8234886831,,religion,,1.0,,270.0,7.0
233,Riot in Karaganda - at least 7 killed in a prison riot,Karaganda,,Kazakhstan,,260.765111915,,human_rights,,1.0,,3000.0,7.0
234,Riot in Nuevo Laredo - 7 killed in a prison riot,Nuevo Laredo,,Mexico,,359.577167974,,human_rights,,1.0,,250.0,5.0
235,Riot in Hotan - 4 killed,Hotan,,China,,0.8,,election,,1.0,,4383.0,8.0
236,Riots in Homs - at least 30 killed in sectarian violence,Homs,,Syria,,9.71382934006,,domestic,,1.0,,310.0,52.0
237,Riots in Sidi Bouzid - 1 killed,Sidi Bouzid,,Tunisia,,3.1,,election,,1.0,,5000.0,6.0
238,Riots in Malawi - at least 18 killed,Malawi,,Malawi,,1.8,,election,,1.0,,700.0,36.0
239,Riots in Ciudad Juárez - 17 people killed in a prison riot,Ciudad Juárez,,Mexico,,359.577167974,,human_rights,,1.0,,100000.0,8.0
240,Riots in Papua - 18 killed in rioting between rival clans,Papua,,Indonesia,,14.4544819558,,human_rights,,1.0,,1100.0,4.0
241,Riots in Qalad District - at least 4 killed,Qalad,Zabul province,Afghanistan,,6.6,,election,,1.0,,148.0,500.0
242,Riots in Pimpri-Chinchwad - 3 killed,Pimpri-Chinchwad,Maharashtra,India,,15.8234886831,,human_rights,,1.0,,5000.0,5.0
243,Riots in London which spread to other cities in England - over a hundred injured and 5 killed,London,,United-Kingdom,,0.84898911353,,human_rights,,1.0,,5000.0,2.0
244,Riots in Mogadishu - at least 10 killed,Mogadishu,,Somalia,,5.6,,food,,1.0,,5000.0,44.0
245,"Riots in Chile - scores of demonstrators and police injured, 1 killed",,,Chile,,517.97345277,,education,,1.0,,5000.0,70.0
246,Riots in Hakkari province - 1 killed,,Hakkari,Turkey,,235.347969476,,domestic,,1.0,,5000.0,4.0
247,Riots in Jos - at least 22 killed,Jos,,Nigeria,,7.71025969071,,education,,1.0,,5000.0,33.0
248,Riots in Sbeitla - 1 teenage girl killed - 4 injured,Sbeitla,,Tunisia,,3.1,,religion,,1.0,,270.0,55.0
249,Riots in Cairo - 3 killed and more than 1000 injured in anti-Israel protests,Cairo,,Egypt,,16.2019727776,,election,,1.0,,100000.0,8.0
250,Riots in Ambon - 5 dead and 80 injured in clashes between Christians and Muslims,Ambon,,Indonesia,,14.4544819558,,human_rights,,1.0,,5000.0,9.0
251,Riots in Paramakudi - 7 killed,Paramakudi,Tamil Nadu,India,,15.8234886831,,human_rights,,1.0,,522.0,300.0
252,Riots in Ujjain - 2 killed and 16 injured in a religious riot,Ujjain,Madhya Pradesh,India,,15.8234886831,,religion,,1.0,,5000.0,44.0
253,"Riots in Bharatpur - at least 9 killed, Over a dozen injured",Bharatpur,Rajasthan,India,,15.8234886831,,religion,,1.0,,5020052183.0,44.0
254,Riots in Nablus - 1 killed,Nablus,,Palestine,,66.9842072539,,human_rights,,1.0,,400.0,98.0
255,Riots in Katunitsa - at least 6 injured in ethnic clashes,Katunitsa,,Bulgaria,,135.37547367,,human_rights,,1.0,,846.0,4.0
256,Riots in Dakhla - at least 20 injured,Dakhla,Western Sahara,Morocco,,142.014470202,,sport,,1.0,,5000.0,2.0
257,Riots in Conakry - at least 4 killed,Conakry,,Guinea,,7.73160714286,,election,,1.0,,2016.0,100.0
258,Riots in Cairo - at least 24 killed,Cairo,,Egypt,,16.2019727776,,election,,1.0,,5000.0,2.0
259,Riots in Darrang district - 4 killed,Darrang,Assam,India,,15.8234886831,,human_rights,,1.0,,5000.0,74.0
260,"Riots in Papua - 1 killed, 5 injured",Papua,,Indonesia,,14.4544819558,,human_rights,,1.0,,5000.0,44.0
261,"Riots in Athens - 1 died of heart attack, 16 injured",Athens,,Greece,,357.231218343,,education,,1.0,,1000.0,73.0
262,Riots in Monrovia - at least 1 killed and several others wounded,Monrovia,,Liberia,,2.88684210526,,election,,1.0,,5000.0,88.0
263,Riots in Nicaragua - at least 4 people killed in post-election violence and 46 officers have been injured,Nicaragua,,Nicaragua,,400.3472736,,election,,1.0,,129.0,50.0
264,Riots in Damietta - 1 killed and at least 11 injured,Damietta,,Egypt,,16.2019727776,,election,,1.0,,5000.0,6.0
265,Riots in Cairo - 33 killed,Cairo,,Egypt,,16.2019727776,,election,,1.0,,5000.0,3.0
266,Riots in Kinshasa - at least 1 dead,Kinshasa,,Democratic-Republic-of-the-Congo,,12.1777074309,,election,,1.0,,5000.0,74.0
267,Riots in Karachi - at least 2 killed and 8 injured,Karachi,,Pakistan,,7.8,,sport,,1.0,,550.0,1.0
268,Riots in Zakho - at least 30 injured,Zakho,,Iraq,,0.679494449189,,foreign_affairs,,1.0,,5000.0,2.0
269,Riots in Canete - at least 1 killed and 20 injured,Canete,,Peru,,186.603654531,,sport,,1.0,,2009.0,17.0
270,Riots in Nabi Saleh - 1 killed,Nabi Saleh,,Palestine,,66.9842072539,,human_rights,,1.0,,700.0,4.0
271,Riot in Jagatsinghpur district - at least 1 killed and 2 injured,,Odisha,India,,15.8234886831,,religion,,1.0,,5000.0,73.0
272,Riots in Kinshasa - 6 killed,Kinshasa,,Democratic-Republic-of-the-Congo,,12.1777074309,,election,,1.0,,5000.0,5.0
273,Riots in Zhanaozen - at least 11 people killed and 86 injured,Zhanaozen,,Kazakhstan,,260.765111915,,sport,,1.0,,5000.0,20.0
274,Riots in Cairo - at least 13 people killed and hundreds injured,Cairo,,Egypt,,16.2019727776,,election,,1.0,,838.0,4.0
275,Riots in Bima - at least 2 people were killed and 8 wounded,Bima,West Nusa Tenggara,Indonesia,,14.4544819558,,human_rights,,1.0,,5000.0,50.0
276,Riots in Rome - at least 100 injured,,,Italy,,278.546222159,,human_rights,,1.0,,723.0,3.0
277,Riots in Uri - 1 killed and 4 injured,Uri,Indian Kashmir,India,,15.8234886831,,domestic,,1.0,,5000.0,74.0
278,Riots in Ebonyi State - at least 50 killed,Ebonyi,,Nigeria,,7.71025969071,,sport,,1.0,,5000.0,44.0
279,Riots in Qatif - several killed and 3 injured,Qatif,,Saudi-Arabia,,6.2,,human_rights,,1.0,,5000.0,8.0
280,Riots in Bahrain - at least 100 killed and dozens injured within 2011_2012,,,Bahrain,,223.353696321,,human_rights,,1.0,,318.0,74.0
281,Riots in Dakar and Podor - 3 killed,Dakar and Podor,,Senegal,,13.3609633827,,election,,1.0,,572.0,74.0
282,Riots in Bangladesh - 4 killed,,,Bangladesh,,4.8414342468,,human_rights,,1.0,,5000.0,3.0
283,Riots in Port Said - at least 74 killed and at least 1000 people injured,Port Said,,Egypt,,16.2019727776,,sport,,1.0,,80.0,6.0
284,Riots in Cairo and Suez - 7 dead,Cairo and Suez,,Egypt,,16.2019727776,,election,,1.0,,2012.0,52.0
285,Riots in Qatif - 1 killed and at least 6 injured,Qatif,,Saudi-Arabia,,6.2,,human_rights,,1.0,,5000.0,8.0
286,Riots in Chilaw - 1 killed and 4 injured,Chilaw,,Sri-Lanka,,242.814174326,,jobs,,1.0,,5000.0,9.0
287,Riots in Apodaca - 44 killed in a prison riot,Apodaca,Nuevo León,Mexico,,359.577167974,,sport,,1.0,,5000.0,8.0
288,Riots in Rustenburg - 2 killed,Rustenburg,,South-Africa,,27.9049150207,,jobs,,1.0,,5000.0,2.0
289,Riots in Afghanistan - 23 killed,,,Afghanistan,,6.6,,religion,,1.0,,5000.0,43.0
290,Riots. 2 killed ,Songea,,Tanzania,,7.9,,religion,,1.0,,79414269.0,44.0
291,Riots. 1 killed and several injured.,Aysén,,Chile,,517.97345277,,education,,1.0,,5000.0,5.0
292,Riots. 2 killed and dozens wounded.,,,Macedonia,,506.853834052,,sport,,1.0,,1000.0,74.0
293,Riots. 3 killed and more than 30 injured.,Puerto Maldonado,,Peru,,186.603654531,,human_rights,,1.0,,741.0,7.0
294,Riots.1 killed,,,Turkey,,235.347969476,,religion,,1.0,,18.0,11.0
295,Riots. 1 killed and 65 injured.,Port Said,,Egypt,,16.2019727776,,sport,,1.0,,5000.0,8.0
296,Riots. 1 killed and scores injured.,West Bank and Gaza,,Israel,,394.462481029,,human_rights,,1.0,,5000.0,44.0
297,Riots. at least 18 killed,San Pedro Sula,,Honduras,,153.382232741,,sport,,1.0,,600.0,74.0
298,Riots. at least 17 killed and nearly 50 injured,Gilgit Baltistan,,Pakistan,,7.8,,human_rights,,1.0,,600.0,6.0
299,Riot. 25000 protesters fired upon by police using water cannons and tear gas,Kuala Lumpur,,Malaysia,,222.038220025,,human_rights,,1.0,,5000.0,3.0
300,Riots. at least 20 killed,Cairo,,Egypt,,16.2019727776,,election,,1.0,,300.0,8.0
301,Riots. 1 killed,Tunis,,Tunisia,,3.1,,election,,1.0,,2012.0,5.0
302,Riots. 1 killed and 4 injured,Papua Province,,Indonesia,,14.4544819558,,human_rights,,1.0,,5000.0,5.0
303,Riots. 50 killed,,Rakhine State,Myanmar,,3.54309165527,,human_rights,,1.0,,5000.0,80.0
304,Riots. more than 90 killed.,Kaduna,,Nigeria,,7.71025969071,,election,,1.0,,2000.0,3.0
305,Riots. at least 3 killed.,Celendín,,Peru,,186.603654531,,sport,,1.0,,100000.0,965.0
306,Riots.1 killed.,Potosi,,Bolivia,,93.1236866559,,religion,,1.0,,5000.0,44.0
307,Riots. 2 killed.,Qatif,,Saudi-Arabia,,6.2,,election,,1.0,,5000.0,8.0
308,Riots.1 killed and more than 85 injured.,Delhi,,India,,15.8234886831,,human_rights,,1.0,,5000.0,8.0
309,Riots. At least 3 killed.,Linden,,Guyana,,549.182425402,,domestic,,1.0,,1050.0,58.0
310,Riots. At least 22 killed.,,Mérida state,Venezuela,,39.1394924531,,election,,1.0,,5000.0,2.0
311,Riots. At least 36 killed.,,Assam,India,,15.8234886831,,human_rights,,1.0,,5000.0,8.0
312,Riots. Several injuries and 24 arrested.,Anaheim,California,United-States,,347.723531383,,election,,1.0,,40000.0,2.0
313,Riots. 6 killed.,Nyala,,Sudan,,9.02334018337,,domestic,,1.0,,2016.0,4.0
314,Riots. 5 killed.,Zogota,,Guinea,,7.73160714286,,election,,1.0,,3000.0,5.0
315,Riots. 2 killed and at least 55 injured.,Mumbai,,India,,15.8234886831,,religion,,1.0,,5000.0,2.0
316,Riots. 9 killed.,,North West Province,South-Africa,,27.9049150207,,human_rights,,1.0,,5000.0,31.0
317,Riots. 34 killed. 78 wounded.,,North West Province,South-Africa,,27.9049150207,,jobs,,1.0,,5000.0,3.0
318,Riots. 6 killed and 200 injured.,,"Santa Fe Province, Tucumán Province, Buenos Aires Province",Argentina,,718.289866699,,jobs,,1.0,,5000.0,44.0
319,Project X Haren. Over 30 injured.,"Haren, Groningen",,Netherlands,,159.02486625,,election,,1.0,,8654.0,30.0
320,Muslims Riot. 25 Injured. Over anti-Islam Film,Sydney,,Australia,,529.923390162,,religion,,1.0,,100.0,12.0
321,Riots caused by the Mexican general election,Mexico City,,Mexico,,359.577167974,,human_rights,,1.0,,2014.0,45.0
322,Riots. Dozens injured. 3 dead,,,Bulgaria,,135.37547367,,sport,,1.0,,939.0,4.0
323,Riots,Stockholm,,Sweden,,678.689919267,,human_rights,,1.0,,5000.0,2.0
324,Riots,,,Bangladesh,,4.8414342468,,religion,,1.0,,500.0,10.0
325,Riots,Istanbul,,Turkey,,235.347969476,,sport,,1.0,,200.0,27.0
326,Riots,"Rio de Janeiro, Brasilia, Belo Horizonte, Salvador, Recife, Curitiba, Porto Alegre, Vitória, São Paulo",,Brazil,,335.394677759,,food,,1.0,,8654.0,31.0
327,Riots. Following July 12 parade and over several days. Dozens injured mainly Police Officers.,Belfast,,Ireland,,413.345237544,,election,,1.0,,5000.0,22.0
328,Riots. 27 people were killed in riots.,Shanshan County (Xinjiang),,China,,0.8,,human_rights,,1.0,,8654.0,6.0
329,Riots,Trappes,,France,,377.43942704,,human_rights,,1.0,,400.0,8.0
330,Riots.1 injured.,Huntington Beach,California,United-States,,347.723531383,,human_rights,,1.0,,304.0,36.0
331,Riots,Cape Town,,South-Africa,,27.9049150207,,election,,1.0,,780.0,4.0
332,Riots.18 injured.,,,Singapore,,6.27306122449,,human_rights,,1.0,,5000.0,3.0
333,"Euromaidan. 1,880 injured. 106 dead. 1,340 hospitalized. 320 arrested for mass rioting and 125+ police officers injured",Kiev.,,Ukraine,,59.9506758696,,election,,1.0,,129.0,2.0
334,Hrushevskoho Street riots,,,Ukraine,,59.9506758696,,election,,1.0,,900.0,35.0
335,20 January Haredi rioted Brooklyn,,,US,,347.723531383,,human_rights,,1.0,,5000.0,58.0
336,Riots in Mombasa Kenya after a raid on a mosque by police,Mombasa,,Kenya,,19.2913746313,,domestic,,1.0,,5000.0,6.0
337,2014 unrest in Bosnia and Herzegovina The 2014 unrest in Bosnia and Herzegovina is a series of demonstrations and riots that began in the northern town of Tuzla on 4 February 2014 but quickly spread to multiple cities in Bosnia and Herzegovina including Sarajevo,,"Zenica, Mostar",Bosnia-and-Herzegovina,,186.242363794,,human_rights,,1.0,,5000.0,8.0
338,Riots in Tampa Florida After Cigar City Brewing Company prematurely ran out of beer at their annual release of their highly acclaimed Hunahpu's Imperial Stout angry attendees began a small riot. Police were called to the scene and dispersed the angry crowd. The riot prompted the brewery's owners to cancel the event in the future. No lives were lost,Tampa,Florida,US,,347.723531383,,sport,,1.0,,148.0,2.0
339,Riots in Mexico caused by the 2014 Iguala mass kidnapping,,,Mexico,,359.577167974,,human_rights,,1.0,,5000.0,31.0
340,Riots in Ferguson - Missouri caused by the shooting of Michael Brown and charges against the accused officer being dropped,Ferguson,Missouri,US,,347.723531383,,human_rights,,1.0,,30121.0,70.0
341,Baltimore riots erupted in Baltimore,Baltimore,Maryland,US,,347.723531383,,human_rights,,1.0,,1000.0,14.0
342,Corsican protests follow the rise of Corsican nationalism and resulted in the burning of a mosque in Ajaccio and continuing protests.,,,France,,377.43942704,,election,,1.0,,400.0,8.0
343,Mong Kok civil unrest,Mong Kok,,Hong-Kong,,62.7556784969,,election,,1.0,,5000.0,7.0
344,Riots after the shooting of Abdi Mohamed in Salt Lake City,Salt Lake City,Utah,US,,347.723531383,,human_rights,,1.0,,800000.0,60.0
345,Donald Trump rally takes a violent turn in Chicago,Chicago,Illinois,US,,347.723531383,,human_rights,,1.0,,20.0,11.0
346,Riot in Melbourne,Melbourne,,Australia,,529.923390162,,human_rights,,1.0,,5000.0,2.0
347,A series of violent riots Melbourne,Melbourne,,Australia,,529.923390162,,human_rights,,1.0,,300.0,35.0
348,Protesters outside a Trump rally rioted in Albuquerque,,,New-Mexico,,597.0,,election,,1.0,,10000.0,5.0
349,"June 2: San Jose, California, Trump rally turns violent when protesters attacked supporters and one Police Officer was assaulted[373]",San Jose,California,US,,347.723531383,,human_rights,,1.0,,2000.0,6.0
350,Milwaukee riots,Milwaukee,Wisconsin,US,,347.723531383,,human_rights,,1.0,,791.0,35.0
351,Riots break out in Kalgoorlie Australia after Aboriginal boy murdered,,,Australia,,529.923390162,,human_rights,,1.0,,8654.0,31.0
352,Kaveri River water dispute,,,India,,15.8234886831,,human_rights,,1.0,,8654.0,31.0
353,Riots in Charlotte,Charlotte,North Carolina,US,,347.723531383,,human_rights,,1.0,,8654.0,31.0
